,list,Weighted_precision,Weighted_recall,Weighted_f1-score,Macro_precision,Macro_recall,Macro_f1-score,Micro_precision,Micro_recall,Micro_f1-score
108,"[4, 2, 0, 1, 3]",0.2296828175244535,0.218,0.2164379311991191,0.21795218456679635,0.22954965986394557,0.2167522122956238,0.218,0.218,0.218
109,"[4, 2, 0, 3, 1]",0.2774136126727014,0.256,0.2592718271667802,0.2522345295802735,0.25524353741496597,0.24673400429422737,0.256,0.256,0.256
110,"[4, 2, 1, 0, 3]",0.2554605370678963,0.267,0.2506483439893758,0.2601021962136634,0.30873333333333336,0.2723291353420913,0.267,0.267,0.267
111,"[4, 2, 1, 3, 0]",0.4696393289550215,0.438,0.44148359232810525,0.4606202738150743,0.467243537414966,0.45011534316909374,0.438,0.438,0.43799999999999994
112,"[4, 2, 3, 0, 1]",0.207861143536899,0.202,0.19608923568641562,0.1992362932487038,0.2221333333333333,0.20131776410901286,0.202,0.202,0.202
113,"[4, 2, 3, 1, 0]",0.3743091402757763,0.335,0.34409058805748405,0.3654720258366376,0.35494965986394555,0.3491221799374118,0.335,0.335,0.335
114,"[4, 3, 0, 1, 2]",0.14483016334802884,0.16,0.14906657773778176,0.15196369900863868,0.18126394557823128,0.16253592071505024,0.16,0.16,0.16
115,"[4, 3, 0, 2, 1]",0.19190473289128074,0.195,0.18912358680115243,0.1891685654897192,0.20891700680272107,0.1941683709939877,0.195,0.195,0.195
116,"[4, 3, 1, 0, 2]",0.17060788289147166,0.209,0.18327699052803842,0.19411371065550567,0.26044761904761904,0.21811284376151777,0.209,0.209,0.209
117,"[4, 3, 1, 2, 0]",0.3841304491736008,0.377,0.37133535196247747,0.39755430972452005,0.4209170068027211,0.3975497098688541,0.377,0.377,0.377
118,"[4, 3, 2, 0, 1]",0.1391896954494673,0.159,0.14541129043556228,0.1478408990254407,0.18344761904761903,0.1610137435380154,0.159,0.159,0.159
119,"[4, 3, 2, 1, 0]",0.3056376921883445,0.292,0.29341264280663076,0.3140766316133746,0.3162639455782313,0.3088181593664142,0.292,0.292,0.292
